Date : 2023-06-28 08:59:54
Directory : /home/david/Documents/BlackBoxRadarAttacks/FMCW_radar_uhd
Total : 436 files,  126899 codes, 28096 comments, 19973 blanks, all 174968 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |        337 |    113,850 |     28,034 |     19,458 |    161,342 |
| JSON        |         63 |      9,736 |          0 |         49 |      9,785 |
| Log         |         14 |        740 |          0 |         55 |        795 |
| XML         |          4 |        720 |          0 |          4 |        724 |
| C           |          1 |        610 |         62 |        132 |        804 |
| CMake Cache |          1 |        537 |          0 |        124 |        661 |
| CMake       |         13 |        480 |          0 |         95 |        575 |
| Markdown    |          3 |        226 |          0 |         56 |        282 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        436 |    126,899 |     28,096 |     19,973 |    174,968 |
| . (Files)                                                                                                                                             |         14 |        819 |         44 |         27 |        890 |
| build                                                                                                                                                 |         85 |     12,672 |        126 |        589 |     13,387 |
| build (Files)                                                                                                                                         |          6 |        814 |          0 |        146 |        960 |
| build/.cmake                                                                                                                                          |         50 |      8,925 |          0 |         49 |      8,974 |
| build/.cmake/api                                                                                                                                      |         50 |      8,925 |          0 |         49 |      8,974 |
| build/.cmake/api/v1                                                                                                                                   |         50 |      8,925 |          0 |         49 |      8,974 |
| build/.cmake/api/v1/query                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                                                             |         49 |      8,924 |          0 |         49 |      8,973 |
| build/CMakeFiles                                                                                                                                      |          6 |      1,761 |        126 |        348 |      2,235 |
| build/CMakeFiles (Files)                                                                                                                              |          1 |        424 |          0 |         42 |        466 |
| build/CMakeFiles/3.22.1                                                                                                                               |          5 |      1,337 |        126 |        306 |      1,769 |
| build/CMakeFiles/3.22.1 (Files)                                                                                                                       |          3 |        129 |          0 |         44 |        173 |
| build/CMakeFiles/3.22.1/CompilerIdC                                                                                                                   |          1 |        610 |         62 |        132 |        804 |
| build/CMakeFiles/3.22.1/CompilerIdCXX                                                                                                                 |          1 |        598 |         64 |        130 |        792 |
| build/Testing                                                                                                                                         |         17 |      1,036 |          0 |         17 |      1,053 |
| build/Testing/20230418-1914                                                                                                                           |          2 |        451 |          0 |          2 |        453 |
| build/Testing/20230418-1916                                                                                                                           |          2 |        269 |          0 |          2 |        271 |
| build/Testing/Temporary                                                                                                                               |         13 |        316 |          0 |         13 |        329 |
| build/src                                                                                                                                             |          6 |        136 |          0 |         29 |        165 |
| build/src (Files)                                                                                                                                     |          2 |         50 |          0 |         11 |         61 |
| build/src/attacking_subsystem                                                                                                                         |          2 |         43 |          0 |          9 |         52 |
| build/src/sensing_subsystem                                                                                                                           |          2 |         43 |          0 |          9 |         52 |
| reference                                                                                                                                             |          4 |      1,016 |        151 |        144 |      1,311 |
| src                                                                                                                                                   |        333 |    112,392 |     27,775 |     19,213 |    159,380 |
| src (Files)                                                                                                                                           |         12 |      2,360 |      1,149 |        545 |      4,054 |
| src/attacking_subsystem                                                                                                                               |          2 |        941 |        400 |        252 |      1,593 |
